MARCA,PRODUCTO,PRECIOS,ENLACE,TIENDA
ACER,LAPTOP ACER NITRO 5 INTEL CORE I5 8GB RAM 512GB SSD 15.6'' FHD IPS 144HZ GTX 1650 4GB,"S/ 2,599",/laptop-acer-nitro-5-intel-core-i5-8gb-ram-512gb-ssd-156-fhd-ips-144hz-gtx-1650-4gb-2004292267064p,ripley
ACER,LAPTOP ACER NITRO 5 INTEL CORE I5 8GB RAM 512GB SSD 15.6'' FHD IPS 144HZ RTX 3050 4GB,"S/ 2,999",/laptop-acer-nitro-5-intel-core-i5-8gb-ram-512gb-ssd-156-fhd-ips-144hz-rtx-3050-4gb-2004292268368p,ripley
LENOVO,LAPTOP LENOVO IDEAPAD GAMING 3 AMD RYZEN 5 16GB RAM 512GB SSD 15.6'',"S/ 3,399",/laptop-lenovo-ideapad-gaming-3-amd-ryzen-5-16gb-ram-512gb-ssd-156-2004297243520p,ripley
ASUS,LAPTOP GAMER ASUS TUF DASH F15 F517ZC-HN005W I5 12VA 8GB RAM 512GB SSD 15.6'',"S/ 4,399",/laptop-gamer-asus-tuf-dash-f15-f517zc-hn005w-i5-12va-8gb-ram-512gb-ssd-156-2004301335791p,ripley
ASUS,LAPTOP GAMER ASUS TUF DASH F15 FX517ZC-HN005W INTEL CORE I5 12450H 8GB RAM 512GB SSD 15.6'',"S/ 3,399",/laptop-gamer-asus-tuf-dash-f15-fx517zc-hn005w-intel-core-i5-12450h-8gb-ram-512gb-ssd-156-2004295930392p,ripley
ASUS,LAPTOP GAMER ASUS TUF F15 FX506LHB-HN323UW INTEL CORE I5 10300H 8GB RAM 512GB SSD 15.6'',"S/ 2,899",/laptop-gamer-asus-tuf-f15-fx506lhb-hn323uw-intel-core-i5-10300h-8gb-ram-512gb-ssd-156-2004295827302p,ripley
ACER,"LAPTOP ACER NITRO 5 CORE I5 12500H 8GB 512GB SSD 15,6"" FHD IPS 144HZ RTX3050 4GB W11","S/ 4,099",/laptop-acer-nitro-5-core-i5-12500h-8gb-512gb-ssd-156-fhd-ips-144hz-rtx3050-4gb-w11-2004303147859p,ripley
LENOVO,LAPTOP LENOVO IDEAPAD GAMING 3 AMD RYZEN 5 8GB RAM 1TB HDD + 256GB SSD 15.6'',"S/ 3,399",/laptop-lenovo-ideapad-gaming-3-amd-ryzen-5-8gb-ram-1tb-hdd-256gb-ssd-156-2004295930378p,ripley
ASUS,"LAPTOP ASUS TUF DASH F15 FX517ZM-HN001W INTEL CORE I7 12VA GEN 16GB RAM 512GB SSD 15.6""","S/ 5,399",/laptop-asus-tuf-dash-f15-fx517zm-hn001w-intel-core-i7-12va-gen-16gb-ram-512gb-ssd-156-2004300945274p,ripley
ASUS,LAPTOP GAMER ROG STRIX G15 G513RM-HQ081W AMD RYZEN 9 6900HX 16GB RAM 1TB SSD RTX3060 15.6'',"S/ 7,699",/laptop-gamer-rog-strix-g15-g513rm-hq081w-amd-ryzen-9-6900hx-16gb-ram-1tb-ssd-rtx3060-156-2004296229914p,ripley
